Count,Date,Stage,ResultNote,Home,Score,Away,MatchNotes,MatchNotes,MatchNotes,MatchNotes,MatchNotes,MatchNotes,MatchNotes,MatchNotes,MatchNotes,MatchNotes,MatchNotes,MatchNotes,MatchNotes,MatchNotes,MatchNotes,MatchNotes,MatchNotes
9 === ,4 May 1968 ,Quarter-finals,Full time »,Hungary,2-0,USSR,Referee: Laurens van Ravens (NED)   – Stadium: Ferenc Puskás, Budapest (HUN) ,,,,,,,,,,,,,,,
11 === ,24 April 1968 ,Quarter-finals,Full time »,Yugoslavia,5-1,France,Aggregate: 6-2, ,Referee: Paul Schiller (AUT)   – Stadium: Stadion FK Partizan, Belgrade (SRB) ,,,,,,,,,,,,,
11 === ,20 April 1968 ,Quarter-finals,Full time »,Italy,2-0,Bulgaria,Aggregate: 4-3, ,Referee: Gottfried Drienst (SUI)   – Stadium: Stadio San Paolo, Naples (ITA) ,,,,,,,,,,,,,
9 === ,6 April 1968 ,Quarter-finals,Full time »,France,1-1,Yugoslavia,Referee: Erwin Vetter (GER)   – Stadium: Stade Vélodrome, Marseille (FRA) ,,,,,,,,,,,,,,,
9 === ,6 April 1968 ,Quarter-finals,Full time »,Bulgaria,3-2,Italy,Referee: Gerhard Schulenburg (GER)   – Stadium: Natsionalen Stadion Vasil Levski, Sofia (BUL) ,,,,,,,,,,,,,,,
9 === ,3 April 1968 ,Quarter-finals,Full time »,England,1-0,Spain,Referee: Gilbert Droz (SUI)   – Stadium: Wembley, London (ENG) ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
9 === ,18 June 1972 ,Final,Full time »,West Germany,3-0,USSR,Referee: Ferdinand Marschall (AUT)   – Stadium: King Baudouin Stadium, Brussels (BEL) ,,,,,,,,,,,,,,,
9 === ,17 June 1972 ,Third place,Full time »,Hungary,1-2,Belgium,Referee: Johan Einar Boström (SWE)   – Stadium: Stade Maurice Dufrasne, Liege (BEL) ,,,,,,,,,,,,,,,
9 === ,14 June 1972 ,Semi-finals,Full time »,Hungary,0-1,USSR,Referee: Rudi Glöckner (GER)   – Stadium: Constant Vanden Stock Stadium, Brussels (BEL) ,,,,,,,,,,,,,,,
9 === ,14 June 1972 ,Semi-finals,Full time »,Belgium,1-2,West Germany,Referee: William J. Mullan (SCO)   – Stadium: Bosuil, Deurne (BEL) ,,,,,,,,,,,,,,,
11 === ,17 May 1972 ,Replay,Replay Full time »,Hungary,2-1,Romania,Referee: Christe Michas (GRE)   – Stadium: Stadion FK Partizan, Belgrade (SRB) ,,,,,,,,,,,,,,,
10 === ,14 May 1972 ,Quarter-finals,Full time »,Romania,2-2,Hungary, ,Referee: Kurt Tschenscher (GER)   – Stadium: 23 August, Bucharest (ROU) ,,,,,,,,,,,,,,
11 === ,13 May 1972 ,Quarter-finals,Full time »,USSR,3-0,Yugoslavia,Aggregate: 3-0, ,Referee: Aurelio Angonese (ITA)   – Stadium: Stadion Luzhniki, Moscow (RUS) ,,,,,,,,,,,,,
11 === ,13 May 1972 ,Quarter-finals,Full time »,West Germany,0-0,England,Aggregate: 3-1, ,Referee: Milivoje Gugulovic (SRB)   – Stadium: Friedrich-Ludwig-Jahn Sportpark, Berlin (GER) ,,,,,,,,,,,,,
11 === ,13 May 1972 ,Quarter-finals,Full time »,Belgium,2-1,Italy,Aggregate: 2-1, ,Referee: Paul Schiller (AUT)   – Stadium: Constant Vanden Stock Stadium, Brussels (BEL) ,,,,,,,,,,,,,
9 === ,30 April 1972 ,Quarter-finals,Full time »,Yugoslavia,0-0,USSR,Referee: Rudolf Scheurer (SUI)   – Stadium: Stadion FK Crvena zvezda, Belgrade (SRB) ,,,,,,,,,,,,,,,
